KEYid,School Name,State,City,School Ranking,ACT Avg,SAT Avg,HS GPA Avg,Total Enrollment,Acceptance Rate,Percent Receiving Aid,Cost after Aid,Total Tuiton,Is Public?
666978,University of Texas--Rio Grande Valley,TX,Edinburg,-1,18,850,,24433,63.00%,0.00%,,17230,TRUE
10115,University of Texas--San Antonio,TX,San Antonio,-1,20,920,,24724,76.00%,0.00%,,23379,TRUE
1962,University of the Cumberlands,KY,Williamsburg,-1,19,860,3.5,3082,71.00%,0.00%,,23000,TRUE
3131,University of Toledo,OH,Toledo,-1,20,920,3.4,16247,94.00%,0.00%,,18578,TRUE
3955,University of West Florida,FL,Pensacola,-1,21,930,3.6,10082,41.00%,0.00%,,18628,TRUE
1601,University of West Georgia,GA,Carrollton,-1,18,870,3.2,11155,59.00%,0.00%,,20406,TRUE
3896,University of Wisconsin--Milwaukee,WI,Milwaukee,-1,20,,3.1,21375,72.00%,0.00%,,19851,TRUE
1599,Valdosta State University,GA,Valdosta,-1,19,890,3.2,8780,65.00%,0.00%,,17196,TRUE
1950,Wichita State University,KS,Wichita,-1,21,915,3.4,11823,92.00%,0.00%,,17270,TRUE
9168,Wright State University,OH,Dayton,-1,18,930,3.3,12504,95.00%,0.00%,,17350,TRUE
