Degree Type,Course Title,Institution Name,City Name,Subject,Language,Beginning Semester,Duration,Tuition Fee,Detail Link
Master's degree,MSc Industrial Engineering,FOM International University,Essen,Engineering in general,English,"Winter semester, Summer semester",3 semesters,"EUR 5,833",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9005/
Master's degree,MSc Industry 4.0 & Management,FOM International University,Essen,Computer Science,English,"Winter semester, Summer semester",4 semesters,varied,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8411/
Master's degree,MSc Innovation Management,HSBA Hamburg School of Business Administration,Hamburg,Business and Economics,English,Winter semester,5 semesters,"EUR 4,500",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6409/
Master's degree,MSc Integrated Immunology (iImmune),FAU Erlangen-Nürnberg,Erlangen,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5223/
Master's degree,"MSc Integrated Life Sciences - Biology, Biomathematics, Biophysics",FAU Erlangen-Nürnberg,Erlangen,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4569/
Master's degree,MSc Integrative Neuroscience,Otto von Guericke University Magdeburg,Magdeburg,"Mathematics, Natural Sciences in general",English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3988/
Master's degree,MSc Interdisciplinary Neuroscience (INS),Goethe University Frankfurt,Frankfurt am Main,Biology,English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4180/
Master's degree,MSc International Food Business and Consumer Studies (IFBC),University of Kassel,Witzenhausen,"Agriculture, Forestry and Nutritional Sciences in general",English,Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3634/
Master's degree,MSc Life Science Informatics,Deggendorf Institute of Technology,Deggendorf,"Mathematics, Natural Sciences in general",English,Winter semester,3 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6399/
Master's degree,MSc Management,FAU Erlangen-Nürnberg,Nürnberg,Business and Economics,"German, English",Winter semester,4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8959/
Master's degree,"MSc Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (MME TIME)",RWTH Aachen University,Aachen,Business and Economics,English,Winter semester,3 semesters,"EUR 10,000",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4757/
Master's degree,"MSc Management and Engineering in Technology, Innovation, Marketing and Entrepreneurship (MME TIME) – part-time",RWTH Aachen University,Aachen,Business and Economics,English,Winter semester,6 semesters,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4875/
Master's degree,MSc Materials Science and Engineering,FAU Erlangen-Nürnberg,Erlangen,Engineering in general,English,"Winter semester, Summer semester",4 semesters,none,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/8297/
